"","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq"
"45347",61583,"30.06.2006",1,2006,2,"2006Q2","2006Q2",32.783,49.713,0.543,10.018,9.913,5.015,-0.801,27.002,33.788,-0.85,3.575,61.911,15.925,0,0.401,2.18,"",NA,4210,607.8,"http://www.sec.gov/Archives/edgar/data/1000779/0001125282-06-005098.txt",1000779,"10-Q","CD&L INC","30.06.06","16.08.06",2006,61583,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,0,0.647,0,"I",0
"45352",61584,"31.12.2004",1,2004,4,"2004Q4","2004Q4",41.428,716.522,12.084,10.812,19.612,696.574,-26.279,113.304,844.841,-2.033,627.047,94.082,-128.319,0,13.307,12.9,"",8300,8300,570.1,"http://www.sec.gov/Archives/edgar/data/1001604/0001001604-05-000141.txt",1001604,"10-K","EMERITUS CORP\WA\","31.12.04","31.03.05",2004,61584,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,6.605,0,"I",0
"45411",61592,"31.03.2007",1,2007,1,"2007Q1","2007Q1",272.941,433.263,147.996,104.198,3.1,NA,-1.314,65.56,71.45,1.891,19.517,97.524,361.813,0,0.089,4.93,"",3674,3674,615.145,"http://www.sec.gov/Archives/edgar/data/855906/0001047469-08-000392.txt",855906,"10-Q","SILICON STORAGE TECHNOLOGY INC","31.03.07","18.01.08",2007,61592,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,1.724,0,"I",0
"45449",61610,"31.12.2004",1,2004,4,"2004Q4","2004Q4",7.93,27.434,1.877,28.52,1.4,6.076,-0.132,6.296,14.039,0.089,0.557,7.677,13.395,0.592,0.223,5.25,"",7370,7370,570.1,"http://www.sec.gov/Archives/edgar/data/1133872/0000950116-05-001234.txt",1133872,"10KSB","ZANETT INC","31.12.04","31.03.05",2004,61610,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",0,1.978,0.364,0.058,"I",0
"45458",61610,"31.03.2007",1,2007,1,"2007Q1","2007Q1",11.468,33.433,1.399,29.738,8.478,9.703,-0.845,14.299,25.365,-0.188,0.932,9.957,8.068,0.303,0.404,1.57,"",7370,7370,615.145,"http://www.sec.gov/Archives/edgar/data/1133872/0000930413-07-004554.txt",1133872,"10-Q","ZANETT INC","31.03.07","18.05.07",2007,61610,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0.906,0.077,0,"I",0
"45520",61645,"31.03.2006",1,2006,1,"2006Q1","2006Q1",26.251,166.578,17.173,81.53,5.069,77.771,-0.765,13.815,92.414,2.328,117.822,5.529,74.164,0,1.995,5.4,"",1311,1311,598.6,"http://www.sec.gov/Archives/edgar/data/933157/0001144204-06-021504.txt",933157,"10QSB","CADENCE RESOURCES CORP","31.03.06","18.05.06",2006,61645,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",0,0,23.68,0,"I",0
"45660",61676,"31.03.2007",1,2007,1,"2007Q1","2007Q1",939.628,2187.38,649.756,179.788,0,0,37.633,585.198,621.407,58.271,99.732,308.088,1565.973,0,0.224,32.03,"",7372,7372,615.145,"http://www.sec.gov/Archives/edgar/data/877890/0001193125-07-197549.txt",877890,"10-Q","CITRIX SYSTEMS INC","31.03.07","07.09.07",2007,61676,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",0,57.275,15.613,NA,"A",0
"45669",61685,"30.09.2005",1,2005,4,"2005Q3","2005Q4",174.902,757.212,95.814,156.585,27.711,0.035,-7.716,162.772,242.547,6.255,14.333,61.883,514.665,4.241,0.64,5.33,"",7372,7372,595.4,"http://www.sec.gov/Archives/edgar/data/1002517/0000950135-05-006971.txt",1002517,"10-K","Nuance Communications, Inc.","30.09.05","14.12.05",2005,61685,"30.09.2005",2005,4,"INDL","USD","2005Q3","2005Q4",5.17,61.287,4.598,0.361,"A",0
"45716",61694,"31.12.2007",1,2007,4,"2007Q4","2007Q4",15.664,42.201,7.24,99.056,0.488,3.997,-6.116,7.024,14.11,-1.636,1.403,7.064,28.091,0,0.201,1.18,"",7372,7372,629.174,"http://www.sec.gov/Archives/edgar/data/919794/0000930413-08-001750.txt",919794,"10-K","ENLIVEN MARKETING TECHNOLOGIES CORP","31.12.07","17.03.08",2007,61694,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",NA,4.926,0.664,0,"I",0
"45812",61718,"31.12.2004",1,2004,3,"2004Q4","2004Q3",160.43,250.241,14.71,121.295,0,0,19.241,119.768,121.145,22.508,9.661,156.364,129.096,0,NA,2.93,"",7372,7372,570.1,"http://www.sec.gov/Archives/edgar/data/1002607/0000950123-05-001408.txt",1002607,"10-Q","ATARI INC","31.12.04","09.02.05",2004,61718,"31.12.2004",2004,3,"INDL","USD","2004Q4","2004Q3",NA,0,1.624,0,"I",0
"45848",61721,"31.07.2005",1,2005,3,"2005Q2","2005Q3",39.797,67.108,6.079,31.707,15.816,0.005,0.984,32.31,32.315,2.139,27.311,23.6,34.793,0,0.248,7.14,"",3679,3679,585.2,"http://www.sec.gov/Archives/edgar/data/866415/0001001277-05-000574.txt",866415,"10-Q","INTERNATIONAL DISPLAYWORKS, INC","31.07.05","06.09.05",2005,61721,"31.07.2005",2005,3,"INDL","USD","2005Q2","2005Q3",NA,8.282,3.94,0,"I",0
"45907",61735,"30.09.2004",1,2004,4,"2004Q3","2004Q4",234.171,960.976,16.058,35.756,32.418,503.668,-50.606,262.456,791.205,-30.94,247.524,127.911,169.771,0,11.041,21.91,"BB-",5900,5900,568.7,"http://www.sec.gov/Archives/edgar/data/1002590/0001193125-04-212581.txt",1002590,"10-K","STAR GAS PARTNERS LP","30.09.04","14.12.04",2004,61735,"30.09.2004",2004,4,"INDL","USD","2004Q3","2004Q4",0,17.471,9.424,0,"A",0.575
"45946",61746,"30.06.2005",1,2005,4,"2005Q2","2005Q4",19.526,197.33,0.968,15.301,0,32,18.59,8.324,68.146,12.122,104.787,26.168,129.184,24.198,0.546,25.67,"",5160,5160,582.6,"http://www.sec.gov/Archives/edgar/data/947577/0000921895-05-001534.txt",947577,"10-K","NUCO2 INC /FL","30.06.05","13.09.05",2005,61746,"30.06.2005",2005,4,"INDL","USD","2005Q2","2005Q4",NA,17.172,19.371,0,"I",0
"45953",61746,"31.03.2007",1,2007,3,"2007Q1","2007Q3",26.33,196.023,0.24,15.359,0,36.3,1.11,9.63,50.143,7.336,123.593,31.914,145.88,0,0.509,25.22,"",5160,5160,615.145,"http://www.sec.gov/Archives/edgar/data/947577/0000921895-07-001012.txt",947577,"10-Q","NUCO2 INC /FL","31.03.07","10.05.07",2007,61746,"31.03.2007",2007,3,"INDL","USD","2007Q1","2007Q3",24.38,0,17.582,12.514,"I",0
"45999",61758,"31.12.2005",1,2005,4,"2005Q4","2005Q4",3.931,6.199,0.816,70.324,0.043,0.576,-0.171,4.138,5.381,-0.164,0.61,3.237,0.818,0,0.01,0.11,"",5990,5990,589.4,"http://www.sec.gov/Archives/edgar/data/1002554/0001002554-06-000013.txt",1002554,"10-K","EMERGING VISION INC","31.12.05","04.04.06",2005,61758,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,0.418,0,"I",0
"46028",61766,"30.09.2005",1,2006,1,"2005Q3","2006Q1",23.496,99.49,6.897,12.718,2.085,64.353,-1.916,20.42,86.476,0.66,73.045,11.985,13.014,0,1.408,1.15,"",3760,3760,595.4,"http://www.sec.gov/Archives/edgar/data/1001907/0001193125-05-223376.txt",1001907,"10-Q","SPACEHAB INC \WA\","30.09.05","14.11.05",2005,61766,"30.09.2005",2006,1,"INDL","USD","2005Q3","2006Q1",0,0,0.642,NA,"A",0
"46145",61859,"31.12.2004",1,2004,4,"2004Q4","2004Q4",87.151,469.415,3.722,15.63,0.382,87.704,1.82,53.133,176.994,6.401,39.697,92.033,292.421,13.21,1.061,19.11,"",7389,7389,570.1,"http://www.sec.gov/Archives/edgar/data/936931/0001104659-05-014428.txt",936931,"10-K","SOURCECORP INC","31.12.04","31.03.05",2004,61859,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",21.91,17.495,17.068,11.884,"I",0
"46196",61880,"30.06.2007",1,2007,4,"2007Q2","2007Q4",26.855,44.209,2.156,13.954,8,8,-3.432,15.862,24.212,-4.393,4.377,9.971,19.997,0,NA,5.1778,"",2834,2834,624.129,"http://www.sec.gov/Archives/edgar/data/1016504/0001016504-07-000033.txt",1016504,"10-K","INTEGRATED BIOPHARMA INC","30.06.07","28.09.07",2007,61880,"30.06.2007",2007,4,"INDL","USD","2007Q2","2007Q4",NA,-0.002,1.111,0,"A",0
"46335",61971,"31.12.2006",1,2006,4,"2006Q4","2006Q4",72.275,106.227,1.403,26.807,2.528,27.163,-5.481,37.088,65.365,-5.604,8.725,78.894,40.862,1.114,0.526,6.43,"",8711,8711,604.5,"http://www.sec.gov/Archives/edgar/data/933738/0001050502-07-000076.txt",933738,"10-K","ENGLOBAL CORP","31.12.06","16.03.07",2006,61971,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",NA,6.529,3.405,0,"A",0
"46437",61996,"31.12.2004",1,2004,4,"2004Q4","2004Q4",111.901,240.531,21.836,24.086,4.286,24.643,-34.526,30.989,65.279,5.578,29.396,42.7,175.252,9.493,NA,32.06,"",3845,3845,570.1,"http://www.sec.gov/Archives/edgar/data/1005010/0001193125-05-067012.txt",1005010,"10-K","ARTHROCARE CORP","31.12.04","31.03.05",2004,61996,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,56.093,14.956,0,"I",0
"46457",62016,"30.09.2005",1,2005,3,"2005Q3","2005Q3",17.936,115.469,2.369,74.207,19.259,5.498,-0.841,28.746,34.244,1.404,14.034,13.109,81.225,0,0.536,0.64,"",7310,7372,595.4,"http://www.sec.gov/Archives/edgar/data/934448/0001104659-05-054175.txt",934448,"10-Q","DIGITAL GENERATION SYSTEMS INC","30.09.05","09.11.05",2005,62016,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",NA,1.779,2.5,0.158,"I",0
"46502",62055,"31.03.2005",1,2005,2,"2005Q1","2005Q2",17.703,53.465,12.76,4.345,2,7.166,0.922,20.405,28.643,2.124,1.442,32.33,24.753,0.887,0.271,7.15,"",8011,8011,579,"http://www.sec.gov/Archives/edgar/data/1063561/0001104659-05-023701.txt",1063561,"10-Q","PROSPECT MEDICAL HOLDINGS INC","31.03.05","16.05.05",2005,62055,"31.03.2005",2005,2,"INDL","USD","2005Q1","2005Q2",NA,0,0.154,0,"I",0
"46536",62057,"30.06.2005",1,2005,2,"2005Q2","2005Q2",3.094,7.822,0.241,23.503,1.03,0,-1.019,8.172,8.288,-0.424,0.068,2.921,-0.466,0.111,0.05,0.83,"",7370,7370,582.6,"http://www.sec.gov/Archives/edgar/data/1034760/0000897069-05-002062.txt",1034760,"10QSB","WIDEPOINT CORP","30.06.05","18.08.05",2005,62057,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,0.001,0,"A",0
"46567",62065,"30.09.2004",1,2004,3,"2004Q3","2004Q3",42.418,77.062,0.761,5.167,21.652,5.932,-1.346,38.221,53.775,2.064,25.356,25.279,23.287,0,0.46,5.7,"",3560,3560,568.7,"http://www.sec.gov/Archives/edgar/data/1000227/0000950116-04-003428.txt",1000227,"10-Q","TB WOODS CORP","01.10.04","15.11.04",2004,62065,"30.09.2004",2004,3,"INDL","USD","2004Q3","2004Q3",NA,0,1.75,NA,"I",0.09
"46585",62070,"31.12.2005",1,2005,4,"2005Q4","2005Q4",47.217,183.311,22.713,55.823,14.049,30.137,1.945,64.087,94.224,3.358,11.495,17.676,87.323,0,1.999,3.26,"",8093,8093,589.4,"http://www.sec.gov/Archives/edgar/data/1003472/0001193125-06-122767.txt",1003472,"10-K","PAINCARE HOLDINGS INC","31.12.05","01.06.06",2005,62070,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,26.928,1.833,0,"I",0
"46665",62093,"31.10.2004",1,2004,3,"2004Q3","2004Q3",95.083,200.385,1.584,23.563,2.491,31.57,4.029,43.256,76.727,6.992,21.732,90.753,123.658,0,0.333,10.08,"",5190,7822,571.9,"http://www.sec.gov/Archives/edgar/data/943605/0000950137-04-010957.txt",943605,"10-Q","SOURCE INTERLINK COMPANIES INC","31.10.04","10.12.04",2004,62093,"31.10.2004",2004,3,"INDL","USD","2004Q3","2004Q3",NA,0,4.069,0,"I",0
"46805",62168,"31.12.2006",1,2006,4,"2006Q4","2006Q4",37.866,40.177,21.051,7.842,0,0,-3.773,8.02,8.02,-1.8,1.087,9.035,32.157,0,0,8.87,"",3845,3845,604.5,"http://www.sec.gov/Archives/edgar/data/1006045/0000891618-07-000207.txt",1006045,"10-K","IRIDEX CORP","30.12.06","30.03.07",2006,62168,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",0,0.06,0.515,0,"A",0
"46824",62169,"31.08.2007",1,2007,1,"2007Q3","2007Q1",74.016,127.065,46.25,26.047,0.156,0.076,3.077,22.911,29.487,4.322,19.79,62.659,96.101,0,0.008,13.5,"",2030,2033,622.827,"http://www.sec.gov/Archives/edgar/data/1005286/0001144204-07-051878.txt",1005286,"10-Q","LANDEC CORP \CA\","26.08.07","28.09.07",2007,62169,"31.08.2007",2007,1,"INDL","USD","2007Q3","2007Q1",NA,0,0.236,0,"A",0
"46917",62200,"31.03.2006",1,2006,1,"2006Q1","2006Q1",18.754,26.79,11.047,30.155,0,0,-5.174,12.607,17.842,-4.979,1.607,7.262,8.948,0,NA,3.44,"",3841,3841,598.6,"http://www.sec.gov/Archives/edgar/data/1003464/0000950137-06-005669.txt",1003464,"10-Q","ENDOCARE INC","31.03.06","10.05.06",2006,62200,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0,0.051,0,"I",0
"47050",62237,"31.03.2006",1,2006,1,"2006Q1","2006Q1",285.043,458.011,225.067,34.408,0,290,1.113,64.293,354.865,5.232,14.296,47.133,103.146,0,1.865,16.93,"",NA,2836,598.6,"http://www.sec.gov/Archives/edgar/data/1004960/0000891618-06-000294.txt",1004960,"10-Q","CONNETICS CORP","31.03.06","25.07.06",2006,62237,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",15.02,12.537,0.496,2.156,"I",0
"47063",62257,"30.06.2006",1,2006,2,"2006Q2","2006Q2",42.142,94.536,19.166,35.447,8.417,15.991,2.196,41.669,57.66,3.848,22.448,39.59,36.876,0,0.533,4.83,"",7990,7990,607.8,"http://www.sec.gov/Archives/edgar/data/814055/0000950134-06-015521.txt",814055,"10-Q","YOUBET COM INC","30.06.06","09.08.06",2006,62257,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,10.094,2.156,NA,"I",0
"47151",62268,"31.12.2007",1,2007,4,"2007Q4","2007Q4",113.506,183.555,0.498,25.691,5.13,29.612,-7.709,63.255,96.153,NA,61.468,57.83,87.402,1.174,0.731,5.61,"",3564,3564,629.174,"http://www.sec.gov/Archives/edgar/data/799526/0000897101-08-000621.txt",799526,"10-K","FLANDERS CORP","31.12.07","14.03.08",2007,62268,"31.12.2007",2007,4,"INDL","USD","2007Q4","2007Q4",NA,0,7.838,1.369,"I",0
"47246",62302,"31.12.2006",1,2006,4,"2006Q4","2006Q4",14.683,18.077,1.148,18.934,5.318,0,-0.105,13.045,13.549,0.191,0.901,15.839,4.528,0,0.075,1.22,"",7389,7389,604.5,"http://www.sec.gov/Archives/edgar/data/1004989/0000910680-07-000256.txt",1004989,"10-K","SPAR GROUP INC","31.12.06","02.04.07",2006,62302,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",0,0,0.516,0,"A",0
"47261",62305,"31.08.2004",1,2004,4,"2004Q3","2004Q4",1.49,3.351,0.344,13.392,4.173,0.064,2.786,8.562,8.626,-1.429,0.891,0.003,-5.275,0,NA,1.84,"",7389,7389,567.6,"http://www.sec.gov/Archives/edgar/data/1043933/0001144204-04-021712.txt",1043933,"10KSB","MARKET CENTRAL INC","31.08.04","14.12.04",2004,62305,"31.08.2004",2004,4,"INDL","USD","2004Q3","2004Q4",NA,0,0.288,0,"A",0
"47593",62501,"30.06.2004",1,2004,3,"2004Q2","2004Q3",294.108,1034.009,115.771,30.257,42.94,515.475,-24.321,197.205,823.895,-1.5,411.318,279.694,210.114,0,10.547,32.18,"BB-",5900,5900,568.2,"http://www.sec.gov/Archives/edgar/data/1005210/0000950136-04-002532.txt",1005210,"10-Q","SUBURBAN PROPANE PARTNERS LP","26.06.04","10.08.04",2004,62501,"30.06.2004",2004,3,"INDL","USD","2004Q2","2004Q3",NA,211.181,18.502,NA,"A",0.6
"47635",62516,"30.09.2004",1,2004,3,"2004Q3","2004Q3",285.065,1274.398,78.149,31.987,188.76,337.299,-15.973,351.601,888.241,49.073,754.207,274.317,386.157,57.61,10.552,27.73,"BB-",3350,3350,568.7,"http://www.sec.gov/Archives/edgar/data/949157/0000950123-04-013312.txt",949157,"10-Q","CENTURY ALUMINUM CO","30.09.04","09.11.04",2004,62516,"30.09.2004",2004,3,"INDL","USD","2004Q3","2004Q3",NA,184.869,26.314,0,"A",0
"47652",62525,"31.12.2004",1,2004,4,"2004Q4","2004Q4",19.29,25.172,16.737,49.632,3.248,0.305,-2.887,4.786,5.091,-1.799,3.303,0.322,20.081,0,1,1.9,"",2836,2836,570.1,"http://www.sec.gov/Archives/edgar/data/946644/0000946644-05-000003.txt",946644,"10-K","HEMISPHERX BIOPHARMA INC","31.12.04","16.03.05",2004,62525,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",0,0,0.15,NA,"A",0
"47657",62525,"31.03.2006",1,2006,1,"2006Q1","2006Q1",25.793,33.051,23.912,61.437,0,3.524,-5.92,2.356,5.88,-5.528,5.021,0.236,27.171,0,0.289,3.6,"",2836,2836,598.6,"http://www.sec.gov/Archives/edgar/data/946644/0001144204-06-027111.txt",946644,"10-Q","HEMISPHERX BIOPHARMA INC","31.03.06","30.06.06",2006,62525,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",0,0,0.866,0,"A",0
"47711",62559,"31.12.2004",1,2004,4,"2004Q4","2004Q4",41.038,88.066,16.385,35.394,0,0,-9.744,26.692,27.986,-8.309,45.318,20.598,60.08,0,0.067,4.68,"",3674,3674,570.1,"http://www.sec.gov/Archives/edgar/data/1007800/0000891618-06-000353.txt",1007800,"10-K","SIPEX CORP","01.01.05","17.08.06",2004,62559,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,1.921,0,"I",0
"47747",62582,"31.03.2006",1,2006,2,"2006Q1","2006Q2",34.465,40.139,0.948,39.242,26.091,77.593,0.516,41.246,119.093,3.032,5.203,36.521,-78.954,0,2.348,0.145,"",3312,7374,598.6,"http://www.sec.gov/Archives/edgar/data/1103926/0001144204-06-036423.txt",1103926,"10QSB","YOUTHSTREAM MEDIA NETWORKS INC","31.03.06","30.08.06",2006,62582,"31.03.2006",2006,2,"INDL","USD","2006Q1","2006Q2",NA,0,0,0,"A",0
"47836",62612,"31.03.2006",1,2006,1,"2006Q1","2006Q1",7.551,11.477,0.428,4.464,1.617,2.312,0.269,3.158,5.559,0.505,0.879,4.198,5.918,0,0.073,2.1,"",3829,3829,598.6,"http://www.sec.gov/Archives/edgar/data/1006691/0001035704-06-000356.txt",1006691,"10QSB","QUALMARK CORP","31.03.06","12.05.06",2006,62612,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0,0.032,0,"I",0
"47867",62626,"30.09.2005",1,2006,1,"2005Q3","2006Q1",2.497,8.92,1.727,24.778,0,2.941,-0.8,0.681,4.062,-0.52,5.22,0.543,4.858,0,0.222,1.7,"",1311,1311,595.4,"http://www.sec.gov/Archives/edgar/data/1006655/0001144204-05-035555.txt",1006655,"10QSB","NATURAL GAS SYSTEMS INC/NEW","30.09.05","14.11.05",2005,62626,"30.09.2005",2006,1,"INDL","USD","2005Q3","2006Q1",NA,0,0.263,0,"A",0
"47981",62666,"30.04.2007",1,2007,1,"2007Q1","2007Q1",5.402,12.744,0.749,9.213,0.093,0.032,-0.443,4.246,4.482,0.109,1.625,3.779,8.262,0,0.011,4.72,"",7373,7373,619.14,"http://www.sec.gov/Archives/edgar/data/1008586/0000950152-07-004896.txt",1008586,"10-Q","STREAMLINE HEALTH SOLUTIONS INC.","30.04.07","04.06.07",2007,62666,"30.04.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,0.221,0,"A",0
"48204",62730,"31.03.2007",1,2007,1,"2007Q1","2007Q1",527.132,1293.362,292.272,91.459,0,0,10.211,207.269,281.308,28.719,54.654,192.718,1012.054,5.874,NA,33.33,"",3661,3661,615.145,"http://www.sec.gov/Archives/edgar/data/1010552/0001193125-07-106252.txt",1010552,"10-Q","POLYCOM INC","31.03.07","08.05.07",2007,62730,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",0,254.725,5.945,0,"I",0
"48233",62733,"31.01.2006",1,2006,1,"2005Q4","2006Q1",88.539,128.965,3.576,16.378,4.966,3.171,-0.396,47.077,67.736,0.947,15.19,138.6,61.229,0,0.309,4.57,"",7363,7363,593.9,"http://www.sec.gov/Archives/edgar/data/931911/0001104659-06-014671.txt",931911,"10-Q","WESTAFF INC","21.01.06","07.03.06",2006,62733,"31.01.2006",2006,1,"INDL","USD","2005Q4","2006Q1",NA,0,1.787,0,"I",0
"48264",62748,"31.07.2005",1,2005,2,"2005Q2","2005Q2",205.579,253.758,1.53,13.942,102.426,0,-24.087,179.55,185.983,NA,48.179,68.411,67.775,0,2.123,6.9,"",5944,5944,585.2,"http://www.sec.gov/Archives/edgar/data/868984/0000950137-05-013167.txt",868984,"10-Q","WHITEHALL JEWELLERS INC","31.07.05","01.11.05",2005,62748,"31.07.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,3.172,0,"I",0
"48280",62768,"30.09.2005",1,2005,3,"2005Q3","2005Q3",21.562,22.615,0.152,5.965,8.004,0,0.34,16.245,16.346,0.753,0.872,14.271,6.269,0.101,0.087,2.9,"",7371,3672,595.4,"http://www.sec.gov/Archives/edgar/data/1004608/0001193125-05-225777.txt",1004608,"10QSB","PINNACLE DATA SYSTEMS INC","30.09.05","14.11.05",2005,62768,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",NA,-0.124,0.214,0,"I",0
"48484",62870,"31.03.2005",1,2005,1,"2005Q1","2005Q1",52.609,331.123,16.919,10.097,52.152,85.325,-61.255,76.642,221.968,9.832,262.465,38.096,109.155,40,2.502,21.25,"",4400,4400,579,"http://www.sec.gov/Archives/edgar/data/921549/0000921549-05-000033.txt",921549,"10-Q","TRICO MARINE SERVICES INC","31.03.05","10.05.05",2005,62870,"31.03.2005",2005,1,"INDL","USD","2005Q1","2005Q1",NA,0,0.99,NA,"I",0
"48655",62957,"30.09.2004",1,2004,3,"2004Q3","2004Q3",28.862,136.038,0.926,10.109,21.933,38.301,-30.185,41.897,81.468,7.641,106.863,43.937,54.57,0.408,0.778,4.29,"",4513,4513,568.7,"http://www.sec.gov/Archives/edgar/data/1011696/0001104659-04-036105.txt",1011696,"10-Q","AIRNET SYSTEMS INC","30.09.04","15.11.04",2004,62957,"30.09.2004",2004,3,"INDL","USD","2004Q3","2004Q3",0,0,43.721,0,"I",0
"48748",62990,"30.06.2006",1,2006,2,"2006Q2","2006Q2",407.415,767.894,260.603,67.6,0,120,-10.054,101.091,234.359,-1.474,122.108,80.066,533.535,0,0.4,25.6,"",3845,3826,607.8,"http://www.sec.gov/Archives/edgar/data/913077/0001104659-06-058322.txt",913077,"10-Q","AFFYMETRIX INC","30.06.06","30.08.06",2006,62990,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,0,47.576,0,"I",0
"48816",63026,"30.09.2004",1,2005,1,"2004Q3","2005Q1",21.219,53.219,3.16,22.787,2.584,6.155,-24.471,19.237,26.342,-2.98,8.621,12.284,26.877,0,0.115,1.77,"",3576,4512,568.7,"http://www.sec.gov/Archives/edgar/data/774937/0000950144-04-011474.txt",774937,"10-Q","VERILINK CORP","01.10.04","22.11.04",2004,63026,"30.09.2004",2005,1,"INDL","USD","2004Q3","2005Q1",NA,-3.992,0.115,0.127,"A",0
"48873",63053,"31.12.2004",1,2005,1,"2004Q4","2005Q1",49.747,59.479,23.838,25.118,0.042,0,-1.641,19.452,19.903,-0.784,2.62,29.318,39.576,0,0.003,3.25,"",3576,3576,570.1,"http://www.sec.gov/Archives/edgar/data/1012482/0001193125-05-023532.txt",1012482,"10-Q","NETOPIA INC","31.12.04","09.02.05",2004,63053,"31.12.2004",2005,1,"INDL","USD","2004Q4","2005Q1",NA,0,0.495,NA,"I",0
"49058",63102,"31.03.2004",1,2003,4,"2004Q1","2003Q4",165.934,215.913,3.176,15.443,10,0,6.348,43.075,44.386,11.688,30.652,140.068,171.527,0,0.143,27.4,"",5013,5013,561.5,"http://www.sec.gov/Archives/edgar/data/1012393/0001193125-04-100950.txt",1012393,"10-K","KEYSTONE AUTOMOTIVE INDUSTRIES INC","26.03.04","09.06.04",2004,63102,"31.03.2004",2003,4,"INDL","USD","2004Q1","2003Q4",NA,15.882,11.855,0,"I",0
"49162",63147,"31.12.2005",1,2005,4,"2005Q4","2005Q4",100.164,160.128,15.296,21.441,11.889,41.27,-18.393,72.661,113.931,-13.435,30.091,79.563,46.197,0,2.859,4.65,"",4581,4581,589.4,"http://www.sec.gov/Archives/edgar/data/1012159/0000950144-06-003787.txt",1012159,"10-K","TIMCO AVIATION SERVICES INC","31.12.05","21.04.06",2005,63147,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,4.81,0,"I",0
"49285",63194,"31.12.2006",1,2006,4,"2006Q4","2006Q4",161.476,433.807,61.699,149.805,73.85,4.498,4.83,164.24,169.464,24.77,72.625,113.104,264.343,0,0.809,9.09,"CCC+",7370,7370,604.5,"http://www.sec.gov/Archives/edgar/data/1015577/0001193125-07-043364.txt",1015577,"10-K","CNET NETWORKS INC","31.12.06","01.03.07",2006,63194,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",NA,14.482,32.833,NA,"I",0
"49297",63195,"30.09.2005",1,2005,3,"2005Q3","2005Q3",31.972,72.861,3.353,9.528,2.626,4.357,-0.558,21.399,26.164,-0.424,19.549,27.506,43.926,0,0.097,9.34,"",3089,3089,595.4,"http://www.sec.gov/Archives/edgar/data/1013696/0001104659-05-057043.txt",1013696,"10-Q","CHANNELL COMMERCIAL CORP","30.09.05","21.11.05",2005,63195,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",NA,0,3.972,0,"I",0
"49401",63291,"31.03.2006",1,2006,1,"2006Q1","2006Q1",NA,76.629,0.399,6.456,NA,15.787,-0.278,NA,28.649,2.022,55.046,23.506,47.98,2.701,0.282,5.89,"",7200,7200,598.6,"http://www.sec.gov/Archives/edgar/data/1014041/0001193125-06-103842.txt",1014041,"10-Q","SRI SURGICAL EXPRESS INC","31.03.06","09.05.06",2006,63291,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",0,0,1.435,0,"I",0
